x,y,parameter
148.0,488.0,1.6999408077120001E9
148.0,488.0,1.699940807828E9
148.0,486.0,1.699940807844E9
149.0,475.0,1.699940807861E9
155.0,452.0,1.699940807878E9
165.0,430.0,1.699940807894E9
176.0,409.0,1.699940807911E9
187.0,393.0,1.699940807928E9
197.0,386.0,1.699940807944E9
206.0,383.0,1.699940807961E9
217.0,382.0,1.699940807978E9
231.0,382.0,1.699940807994E9
255.0,386.0,1.699940808011E9
286.0,400.0,1.699940808028E9
320.0,423.0,1.6999408080440001E9
351.0,450.0,1.699940808061E9
380.0,477.0,1.699940808078E9
410.0,503.0,1.699940808094E9
438.0,523.0,1.699940808111E9
464.0,535.0,1.699940808128E9
488.0,539.0,1.699940808144E9
516.0,537.0,1.699940808161E9
544.0,526.0,1.699940808177E9
573.0,504.0,1.699940808194E9
605.0,472.0,1.699940808211E9
634.0,436.0,1.699940808228E9
658.0,403.0,1.699940808244E9
675.0,374.0,1.699940808261E9
687.0,352.0,1.699940808278E9
693.0,339.0,1.6999408082940001E9
695.0,333.0,1.699940808311E9
696.0,332.0,1.699940808328E9
