x,y,parameter
203.0,397.0,1.699333464898E9
211.0,382.0,1.6993334649060001E9
219.0,364.0,1.699333464914E9
227.0,351.0,1.699333464921E9
234.0,341.0,1.699333464927E9
238.0,333.0,1.699333464935E9
242.0,329.0,1.6993334649420002E9
245.0,323.0,1.699333464948E9
247.0,318.0,1.699333464955E9
249.0,315.0,1.6993334649620001E9
252.0,310.0,1.69933346497E9
254.0,305.0,1.69933346498E9
255.0,303.0,1.699333464984E9
257.0,299.0,1.699333464992E9
259.0,297.0,1.699333464997E9
260.0,293.0,1.699333465004E9
263.0,290.0,1.699333465011E9
267.0,285.0,1.699333465019E9
271.0,281.0,1.699333465027E9
275.0,275.0,1.699333465033E9
281.0,269.0,1.699333465039E9
287.0,265.0,1.699333465048E9
293.0,259.0,1.699333465055E9
299.0,254.0,1.699333465062E9
306.0,249.0,1.699333465069E9
316.0,242.0,1.699333465075E9
326.0,236.0,1.699333465082E9
336.0,230.0,1.699333465088E9
345.0,225.0,1.699333465098E9
352.0,221.0,1.699333465102E9
357.0,218.0,1.6993334651100001E9
361.0,215.0,1.699333465118E9
365.0,213.0,1.699333465124E9
369.0,211.0,1.699333465131E9
375.0,208.0,1.699333465137E9
381.0,206.0,1.6993334651460001E9
388.0,204.0,1.699333465152E9
395.0,202.0,1.69933346516E9
401.0,201.0,1.699333465167E9
407.0,200.0,1.699333465173E9
415.0,200.0,1.699333465181E9
426.0,200.0,1.699333465187E9
437.0,201.0,1.699333465195E9
450.0,205.0,1.699333465201E9
464.0,208.0,1.699333465209E9
478.0,214.0,1.699333465216E9
493.0,220.0,1.699333465223E9
504.0,227.0,1.699333465229E9
515.0,235.0,1.699333465237E9
525.0,243.0,1.699333465244E9
533.0,251.0,1.699333465251E9
538.0,261.0,1.6993334652580001E9
543.0,272.0,1.699333465264E9
546.0,283.0,1.6993334652710001E9
549.0,291.0,1.699333465278E9
551.0,299.0,1.699333465285E9
552.0,304.0,1.699333465293E9
553.0,307.0,1.699333465299E9
553.0,310.0,1.699333465306E9
553.0,311.0,1.699333465313E9
553.0,312.0,1.69933346532E9
553.0,314.0,1.699333465328E9
551.0,316.0,1.699333465335E9
548.0,321.0,1.699333465341E9
543.0,328.0,1.699333465348E9
535.0,337.0,1.699333465355E9
523.0,347.0,1.699333465362E9
508.0,361.0,1.6993334653700001E9
488.0,378.0,1.699333465379E9
468.0,395.0,1.699333465384E9
449.0,407.0,1.69933346539E9
428.0,419.0,1.699333465398E9
407.0,429.0,1.699333465404E9
387.0,436.0,1.699333465412E9
365.0,445.0,1.69933346542E9
345.0,451.0,1.699333465426E9
330.0,453.0,1.699333465432E9
317.0,454.0,1.6993334654390001E9
304.0,454.0,1.699333465448E9
291.0,453.0,1.699333465453E9
279.0,448.0,1.699333465461E9
267.0,443.0,1.699333465468E9
255.0,437.0,1.6993334654750001E9
243.0,429.0,1.699333465481E9
232.0,421.0,1.6993334654880002E9
223.0,413.0,1.699333465496E9
215.0,403.0,1.699333465503E9
208.0,397.0,1.69933346551E9
201.0,389.0,1.699333465519E9
195.0,383.0,1.699333465524E9
191.0,376.0,1.6993334655310001E9
187.0,369.0,1.699333465537E9
184.0,361.0,1.699333465549E9
182.0,353.0,1.699333465552E9
181.0,343.0,1.699333465559E9
181.0,335.0,1.6993334655670002E9
181.0,328.0,1.699333465573E9
183.0,320.0,1.69933346558E9
187.0,311.0,1.6993334655870001E9
191.0,304.0,1.699333465594E9
196.0,295.0,1.699333465601E9
204.0,288.0,1.699333465608E9
214.0,281.0,1.699333465616E9
225.0,271.0,1.699333465622E9
237.0,263.0,1.699333465629E9
249.0,255.0,1.699333465637E9
265.0,247.0,1.6993334656430001E9
278.0,240.0,1.699333465651E9
293.0,234.0,1.699333465657E9
307.0,228.0,1.699333465664E9
322.0,222.0,1.699333465671E9
339.0,217.0,1.699333465678E9
355.0,211.0,1.699333465686E9
372.0,207.0,1.699333465693E9
385.0,204.0,1.6993334656990001E9
397.0,203.0,1.699333465709E9
407.0,202.0,1.699333465714E9
413.0,202.0,1.69933346572E9
418.0,202.0,1.699333465727E9
423.0,203.0,1.6993334657350001E9
425.0,204.0,1.699333465741E9
429.0,205.0,1.699333465749E9
433.0,205.0,1.699333465755E9
436.0,206.0,1.699333465763E9
439.0,207.0,1.69933346577E9
443.0,209.0,1.699333465778E9
445.0,210.0,1.699333465784E9
447.0,212.0,1.69933346579E9
450.0,215.0,1.699333465798E9
454.0,219.0,1.6993334658040001E9
458.0,225.0,1.699333465812E9
462.0,232.0,1.699333465819E9
466.0,238.0,1.699333465826E9
470.0,247.0,1.699333465832E9
475.0,255.0,1.6993334658400002E9
478.0,265.0,1.6993334658500001E9
480.0,274.0,1.699333465854E9
481.0,283.0,1.699333465861E9
481.0,291.0,1.699333465867E9
481.0,291.0,1.699333465882E9
